code	lc	product_name_en	product_name_es	product_name_fr	product_name_pt	product_name_xx	generic_name_en	generic_name_es	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_es	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_pt	ingredients_text_xx	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	alpha-linolenic-acid_value	alpha-linolenic-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	polyols_value	polyols_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_4_shape	packaging_4_material	packaging_4_recycling	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
3451790196188	fr			Cheese to squeeze									Milkana,Savencia	milkana,savencia		Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages fondus	en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:melted-cheese			Angola	en:angola			0																			100g	100g																																																												en:cheese	en:milk-and-dairy-products,en:cheese		unknown	unknown		d	27	1	12355	-5	-15	1	0								App - yuka, Apps
5602310002498	fr			Biagio																Angola	en:angola			0																			100g	100g			392	kcal	0.5	g	0.20000000298023	g	90	g	89	g			9	g	0.10000000149012	g	0.040000000596048	g			392	kcal																																							unknown	unknown		unknown		1		-5	-15	1	0								App - yuka, Apps
5601066200042	fr			Farine de blé T65					1 kg				Nacional	nacional		"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Farines, Farines de céréales, Farines de blé, Farines de froment, Farines de blé type T65"	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:flours,en:cereal-flours,en:wheat-flours,en:common-wheat-flours,en:wheat-flour-type-65			Angola	en:angola			0											farine de blé			Gluten	en:gluten				100g	100g			352	kcal	1.5	g	0.5	g	73	g	2.5	g	3.5	g	10	g	0.03	g	0.012	g			352	kcal																																				en:cereals	en:cereals-and-potatoes,en:cereals	1	en:1-unprocessed-or-minimally-processed-foods	a	-4	b	77	1	9435	-5	-15	1	0								App - yuka, Apps
5600413520628	pt				Donna Bia				250 g		Vidro	en:glass	Titi Angol	titi-angol		Mel	pt:mel			Angola	en:angola	Maxi	maxi	0		Alto Cotumbela	pt:alto-cotumbela		Angola	angola						Mel puro						on	100g	100g																																															en:glass												www.tutiangol.co.ao				unknown	unknown		unknown				-5	-2	0	0								
3661103043072	pt				Nexgard				10,25kg											Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								App - off, Apps
8005299002287	fr			Tortellino alla carne									Fontaneto	fontaneto						Angola	en:angola			0																			100g	100g			256	kcal	5.3	g	1.7	g	38	g	3	g			14	g	0.33	g	0.132	g			256	kcal																																							unknown	unknown		unknown		1		-5	-15	1	0								App - yuka, Apps
41003107	en																			Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								
8901035055039	en																			Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								
6009701000306	en	Sugar free butterscotch candy							75 g	16g			Joyabrands	joyabrands		Snacks, Sweet snacks, Confectioneries, Candies, Sugar free butterscotch candy	en:snacks,en:sweet-snacks,en:confectioneries,en:candies,en:sugar-free-butterscotch-candy			Angola	en:angola	Shoprite	shoprite	0					South Africa	south-africa			Isomalt, Butter (cream)(5%), Vegetable fat (palm kernel), Salt, Soya lecithin (E322), Flavourings, Colourant (E150c), Sucralose (non-nutritive sweetener; E955).					Milk, Soybeans	en:milk,en:soybeans				100g	100g	1007	kJ			8.1	g	6	g	88.3	g	0	g	0	g	0	g	900	mg	360	mg	0	% vol	1007	kJ							88.3	g																												en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	d	11	d	32	1	31003	-5	-15	1	0	-10							App - off, Apps
7311310032111	fr	Tortilla chips chili		Tortilla chips					475 gr	40g			Santa Maria	santa-maria		Snacks, Snacks salés, Amuse-gueules, Chips et frites, Chips, Chips de maïs	en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:corn-chips			Angola	en:angola			0																		off	100g	100g			473	kcal	21	g	1.8	g	63	g	1.6	g			6.1	g	2	g	0.8	g			473	kcal																																				en:appetizers	en:salty-snacks,en:appetizers		unknown	d	14	b	67	1	38105	-5	-15	1	0								App - off, Apps, App - Open Food Facts, App - Yuka
8992760221141	en	biscuits social tea		Oreo					150g				Nabisco	nabisco		Snacks, Sweet snacks	en:snacks,en:sweet-snacks			Angola, Australia	en:angola,en:australia			0																			100g	100g			451.61290322581	kcal	12.903225806452	g	3.2258064516129	g	77.41935483871	g	22.58064516129	g			6.4516129032258	g	0.96774193548388	g	0.387096774193552	g			451.61290322581	kcal																																							unknown	d	17	unknown		1		-5	-15	1	0								App - off, Apps, App - yuka
5600382550510	fr			Muesli integral					375g				Bio nutri	bio-nutri				Bio	en:organic	Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								
7892947566182	en															Sweeteners, Sugars, Brown sugars	en:sweeteners,en:sugars,en:brown-sugars			Angola	en:angola			0																			100g	100g																																																												en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		c	44	1	31017	-5	-15	1	0								
66	en																			Angola, France	en:angola,en:france			0																			100g	100g																																																																																	
6009708845559	fr			Chips																Angola	en:angola			0																			100g	100g			491	kcal	27.3	g	9.6	g	58.6	g	0.7	g			8.3	g	1.215	g	0.486	g			491	kcal																																							unknown	unknown		unknown		1		-5	-15	1	0								App - yuka, Apps
5608242389362	pt				Nutry Múcua Goiaba				1 l	100 ml	en:multilayer-composite, Tetra Pak	en:multilayer-composite,en:tetra-pak	Nutrh	nutrh		"Alimentos e bebidas à base de plantas, Bebidas, Bebidas à base de plantas, Bebidas à base de frutas"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages			Angola	en:angola			0		Angola	en:angola		Luanda Angola	luanda-angola													serving	100g					0	g			11	g	10	g	0	g	0	g	0.01	g	0.004	g																										en:brick	en:tetra-pak																unknown	unknown		c	55		18309	-5	-4	0	0								App - Open Food Facts, Apps
7891331014551	en																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								
8009940021030	fr			Tagliatelle																Angola	en:angola			0																			100g	100g			348	kcal	1.1	g	0.1	g	71	g	3.5	g			12	g							348	kcal																																							unknown	unknown		unknown		1		-5	-15	1	0								App - yuka, Apps
0791688873832	pt				perla nectar				1L	1l	Plástico	en:plastic	purangol	purangol		"Alimentos e bebidas à base de plantas, Bebidas, Bebidas à base de plantas, Bebidas à base de frutas, Sucos e néctares, Sumos de fruta"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices	Vegetariano, Vegano	en:vegetarian,en:vegan	Angola	en:angola			0		Brasil	en:brazil		Angola	angola						água, açúcar, concetrado de sumo de maçã, concetrado de sumo de ananás, concetrado de sumo de kiwi,concetrado de sumo de limão, ácido cítrico, pectina, goma,niacina, pirotécnico, vitamina B1, B6, B12							100g	100g					0	g			9.9	g	9.8	g	0	g	0	g	0.003	g	0.0012	g																											en:plastic												www.purangol.com	en:sweetened-beverages	en:beverages,en:sweetened-beverages	4	en:4-ultra-processed-food-and-drink-products	unknown		e	10		2035	-4	-10	1	0								App - Open Food Facts, Apps
5602003000732	fr			Fraises																Angola	en:angola			0																			100g	100g			50	kcal	0.40000000596046	g	0	g	5.3000001907349	g	2	g			0.60000002384186	g	0	g	0	g			50	kcal																																							unknown	unknown		unknown		1		-5	-15	1	0								App - yuka, Apps
0800071546410	pt				Saldo															Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								App - Open Food Facts, Apps
6161109310255	pt				nestum completo cereais e leite				50g		Plástico	en:plastic	Nestum	nestum		en:cereais	en:cereais			Angola	en:angola			0																			100g	100g																																															en:plastic																unknown	unknown		unknown				-5	-10	1	0								App - Open Food Facts, Apps
6009708844118	pt	farine de blé tout usage							1 kilogramme				Alimo	alimo		en:première qualité	en:premiere-qualite			Angola	en:angola			0		en:farine de blé	en:farine-de-ble		turque	turque													100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								
8907821007480	en												bom dia	bom-dia						Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								App - Open Food Facts, Apps
6009881013264	en																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								
6009881013394	en																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								
5060678290023	en																			Angola	en:angola			0																		off	100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								App - Open Food Facts, Apps
5608242145623	fr			Coco ananas																Angola	en:angola			0																			100g	100g			23	kcal	0	g	0	g	5.3	g	5.2	g	0	g	0	g							23	kcal																																							unknown	unknown		unknown		1		-5	-15	1	0								App - Yuka, Apps
4005808135561	fr			zet																Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								App - Open Food Facts, Apps
7896022204181	fr			renata					2g				kistar	kistar						Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								App - Open Food Facts, Apps
5602310009176	fr			Confettura al mango																Angola	en:angola			0																			100g	100g			200	kcal	0.23	g	0.06	g	49.98	g	48.669	g	0.3	g	0.47	g	0.2	g	0.08	g			200	kcal																																							unknown	unknown		unknown		1		-5	-15	1	0								App - Yuka, Apps
5601009929702	pt				Half Skimmed Yogurt with Peach Pieces (9%)				125g	100g	Plástico	en:plastic	Pingo Doce	pingo-doce		Laticínios, Alimentos Fermentados, Produtos lácteos fermentados, Sobremesas, Sobremesas de laticínios, en:Fermented dairy desserts, en:Fermented dairy desserts with fruits, Iogurtes, Iogurtes de fruta	en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:fermented-dairy-desserts-with-fruits,en:yogurts,en:fruit-yogurts	Sem glúten	en:no-gluten	Angola	en:angola			0												Pasteurised skimmed milk, pasteurised milk, sugar, peach, skimmed milk powder, milk proteins, dextrose, corn starch, peach flavour, thickeners (E440ii, E415), fruit colour (E160a), fruit preservative (E202), starter cultures, acidity regulator (E330).		Leite, en:Peach	en:milk,en:peach			off	100g	100g	487	kJ	115	kcal	1.7	g	1.1	g			17.3	g					0.19	g	0.076	g	0	% vol	487	kJ																																				en:milk-and-yogurt	en:milk-and-dairy-products,en:milk-and-yogurt	4	en:4-ultra-processed-food-and-drink-products	unknown		b	63	1	19592	-5	-15	1	0								App - Open Food Facts, Apps
6009708846716	xx					Alimo							beurre	beurre						en:Angola	en:angola			0													"Dene vegetal para barrar - Ingredientes: Agua, Oleos vegetais palma, soja, semente de palma), sal, emulsionante lecitina, mons sorbato de potássio, benzoato de sódiol, regulador de acider lact glicéridos de ácidos gordos, políricinoleato de poliglicerol conse aroma a manteiga, vitamina A, vitamina D, vitamina E e corante canta Crime végétale à tartiner - Ingrédients: Eau, huiles végétales palme soja palmiste), sel, émulsifiants (lécithine, mono et diglyceride d gras, polyricinoléate de polyglycéroll, conservateurs Isorbate de pa benzoate de sodium), régulateur d'acidité (acide citriquel, arome teame vitamine A, vitamine D, vitamine E et colorant (carotene Vegetal cream to spread - Ingredients: Water, Vegetable oils (paim palm kernell), salt, emulsifier (lecithin, mono-and diglicerides of la acids, polyglycerol polyricinoleate), preservatives (potassium sorbate sodium benzoate), acidity regulator (citric acid), butter flavour amin A, Vitamin D, vitamin E and colouring agent (carotene Conservar em local fresco e seco, refrigerar após abertura/ Conserver dans un endroit frais et sec, mettre au réfrigérateur apres ouverture/Store in a cool dry place, refrigerate after opening Consumir de preferência antes de / lote: ver tampa/A consommer de Match: see lid"			en:Soybeans	en:soybeans		100g	100g																																																														4	en:4-ultra-processed-food-and-drink-products	unknown		unknown		1		-5	-15	1	0								
7393470	fr			Milk																Angola	en:angola			0																			100g	100g							0	g			0	g																																																			unknown	unknown		unknown		1		-5	-15	1	0								App - Yuka, Apps
5287000314152	en																	No preservatives	en:no-preservatives	Angola	en:angola			0																			100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								App - smoothie-openfoodfacts, Apps
